scenario,slug,seed,mean_mispricing_pct,mean_abs_mispricing_pct,return_volatility_pct,excess_kurtosis,mean_volume,return_acf1,absolute_return_acf1,technical_usage_pct,control_usage_pct,maximum_drawdown_pct
Selection only,selection_only,-7137259699547515099,-0.3865345724603383,4.177262076919872,0.6524049918355769,-0.2801345579356038,0.4699232140990955,0.8679485164833052,0.7015082754575966,6.710000000000002,3.8983333333333348,35.154744327539284
Selection only,selection_only,5508270539648407201,1.0208450554115078,4.56535311585967,0.6800539721387895,-0.16658289673741056,0.4125016448018624,0.8801197440954777,0.7201223237313691,4.197500000000002,8.450000000000003,36.41610761651733
Selection only,selection_only,-8358043478371408119,-2.438925540868121,4.773107202086039,0.6660982597384506,0.005003131893170032,0.4139198763277668,0.8650512201395067,0.7177359054801775,4.50416666666667,4.663333333333335,40.69235701998083
Selection only,selection_only,-7392029432719058668,-1.2276067599737308,3.850426091877601,0.5885363421426527,-0.26585609327478066,0.38876510363872,0.8388738595842273,0.6481978471909706,3.985000000000003,2.2583333333333337,32.338281919198856
Selection only,selection_only,2387745029143021741,0.9010126903572359,6.384759353102477,0.7239374387791011,0.07128098292992702,0.5471960165537731,0.8925075496453002,0.7706387969631427,7.157500000000002,3.291666666666668,35.97227771222018
Slow exploration,slow_exploration,-7137259699547515099,12.965765905765375,13.054160429444968,0.6154355889370434,-0.23333423720113222,1.048966824823263,0.8746282498193011,0.7200447946725189,4.721666666666667,4.513333333333335,30.389511399317136
Slow exploration,slow_exploration,5508270539648407201,14.26536686096204,14.387870598094105,0.6096902107391201,-0.22177783321075273,0.8436045306744809,0.8827079760536505,0.7350416493581228,3.6675000000000013,9.156666666666672,32.23599833551218
Slow exploration,slow_exploration,-8358043478371408119,14.693106762482618,14.923157366973623,0.5257265030316595,0.23407138905196323,0.6992696228271048,0.8493147681816827,0.706781613868113,3.3950000000000014,4.638333333333335,30.05709403636304
Slow exploration,slow_exploration,-7392029432719058668,14.522858459905853,14.675801517255229,0.5537150489148901,-0.26826644082336193,0.7716615710845419,0.8624438942066974,0.6975857177367563,4.017500000000002,1.0733333333333335,28.756442893007794
Slow exploration,slow_exploration,2387745029143021741,14.398681492396902,14.636844513590756,0.5798368597111825,0.11045759662644938,1.112769791342114,0.8622847909245903,0.7287058460146612,4.928333333333336,4.296666666666668,27.816576096721686
Medium exploration,medium_exploration,-7137259699547515099,20.19392934558975,20.198071973067677,0.6404662920957562,-0.3109585322975601,3.352384823448248,0.8755851843669729,0.7237230241164598,6.857500000000001,5.270000000000001,33.84837419099907
Medium exploration,medium_exploration,5508270539648407201,20.246733643608927,20.246733643608927,0.5602666270512442,-0.14922035233405007,2.33497444337575,0.8722247695738041,0.6982988839417985,4.205833333333334,11.88166666666667,27.21630220603204
Medium exploration,medium_exploration,-8358043478371408119,20.35054911903221,20.35054911903221,0.5068892952863785,0.007682071754124831,1.7466667027553422,0.8481130051840597,0.695901405567341,5.068333333333336,4.870000000000001,31.131437609534018
Medium exploration,medium_exploration,-7392029432719058668,20.718898482026724,20.718898482026724,0.5414845848609976,-0.2887333212337069,2.4470039499198317,0.8622640884026244,0.6873267887813859,6.510833333333335,3.1866666666666674,28.493707763832244
Medium exploration,medium_exploration,2387745029143021741,20.69689333142191,20.69689333142191,0.5782028706263165,-0.1303169144641405,2.175902649222832,0.8816972371739339,0.7480654257664638,5.33666666666667,4.913333333333336,31.48675949483048
Rapid exploration,rapid_exploration,-7137259699547515099,21.492201578326057,21.49601458436207,0.6853750436131452,-0.206199300944081,4.885702324353833,0.8922096857036066,0.7677401215772164,8.764166666666668,5.188333333333335,38.898034531526555
Rapid exploration,rapid_exploration,5508270539648407201,22.209548214299176,22.209548214299176,0.583249532709485,-0.28379235548822335,4.945206915654616,0.870185577918257,0.7015031655759176,4.672500000000002,10.943333333333337,28.323008446954102
Rapid exploration,rapid_exploration,-8358043478371408119,21.16588630786282,21.16588630786282,0.5764869421235839,-0.14831003977102686,4.600460970273994,0.8602186167056944,0.7159368908436377,5.133333333333336,6.2666666666666675,33.627815508549375
Rapid exploration,rapid_exploration,-7392029432719058668,21.98314753816767,21.98314753816767,0.5711906497264645,-0.34389895304062845,4.233472601120593,0.8698398710683242,0.7059249476624077,6.291666666666668,1.2283333333333335,29.15400670621115
Rapid exploration,rapid_exploration,2387745029143021741,21.973071694617975,21.973071694617975,0.6665994803746734,-0.057107303658440856,4.896971305293908,0.8877176886476805,0.7629352277244933,8.080833333333336,6.303333333333337,32.07870235788768
