metric	value
period	250
population	400
females	220
males	180
infected	0
infection_prevalence	0.0
total_agent_sugar	18285
total_landscape_sugar	2915
total_sugar	21200
mean_wealth	45.7125
wealth_std	44.60565932423821
minimum_wealth	1.0
wealth_p10	6.0
wealth_p25	13.0
median_wealth	24.0
wealth_p75	70.0
wealth_p90	123.0
maximum_wealth	202.0
gini	0.5087305168170633
bottom_50_wealth_share	0.13967733114574787
top_10_wealth_share	0.32075471698113206
mean_age	37.745
mean_vision	3.8375
mean_metabolism	2.0125
burn_in	50
mean_population	400.0
mean_gini	0.46983180576227546
mean_harvested	1064.85
mean_moved	375.28
mean_conflicts	0.0
cumulative_harvested	266332
cumulative_deaths	1760
cumulative_starvation_deaths	868
cumulative_old_age_deaths	892
cumulative_replacements	1760
cumulative_births	0
cumulative_infections	216
cumulative_recoveries	894
