seed,implementation,scenario,steps,burn_in,population,ring_y,lookahead,error_rate,max_speed,mean_convention_strength,final_convention_strength,mean_disposition_strength,mean_speed,replacement_rate,time_to_convention,coordinated_fraction,coordination_entries,mean_coordinated_episode,longest_coordinated_episode,final_habit_share,final_convention_share,final_social_habit_share,final_all_three_share
20260901,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.2627041666666666,0.23333333333333334,0.0,2.6588604166666667,0.16825208333333333,1856,0.004,8,2.0,4,0.0,0.0,0.0,0.0
20260901,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.8924541666666667,0.85,0.7501582917637152,2.894691666666667,0.041264583333333334,27,0.8695,116,29.982758620689655,252,1.0,0.0,0.0,0.0
20260901,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.7137708333333334,0.5666666666666667,0.6345141439799363,2.8668583333333335,0.05613125,103,0.59575,104,22.91346153846154,197,0.0,1.0,0.0,0.0
20260901,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9215999999999999,0.95,0.7288731961821123,2.919270833333333,0.030241666666666667,23,0.94375,84,44.94047619047619,261,0.0,0.0,1.0,0.0
20260901,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9107458333333333,0.75,0.7656294637263813,2.9145104166666664,0.0317375,59,0.928,63,58.92063492063492,382,0.5166666666666667,0.5916666666666667,0.5333333333333333,0.15
20260901,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9431416666666667,0.8666666666666667,0.7242759663912491,2.933054166666667,0.02515,335,0.9905,24,165.08333333333334,592,0.325,0.85,0.7166666666666667,0.21666666666666667
20260901,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.7978666666666668,0.9833333333333333,0.0,1.0,0.006764583333333333,292,0.74475,42,70.92857142857143,638,NaN,NaN,NaN,NaN
20260901,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9732166666666671,1.0,0.956863701567793,1.0,0.00501875,162,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260902,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.2591,0.03333333333333333,0.0,2.6609375,0.16790833333333333,2269,0.01675,21,3.1904761904761907,16,0.0,0.0,0.0,0.0
20260902,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.8461624999999999,0.95,0.7252455512029079,2.883289583333333,0.046125,115,0.80525,124,25.975806451612904,308,1.0,0.0,0.0,0.0
20260902,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.733025,0.43333333333333335,0.6699321340293902,2.8842291666666666,0.046683333333333334,192,0.60525,77,31.441558441558442,330,0.0,1.0,0.0,0.0
20260902,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9181416666666666,0.4666666666666667,0.7235118774179806,2.915556249999999,0.03203541666666666,148,0.94125,78,48.26923076923077,288,0.0,0.0,1.0,0.0
20260902,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.8897833333333333,0.8833333333333333,0.7472720588046855,2.910170833333333,0.034172916666666664,42,0.8895,87,40.89655172413793,265,0.5416666666666666,0.49166666666666664,0.4666666666666667,0.15
20260902,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9503541666666667,0.9833333333333333,0.7376905458820487,2.9395625,0.021954166666666667,30,0.9955,14,284.42857142857144,614,0.55,0.43333333333333335,0.4,0.008333333333333333
20260902,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.8764875000000001,0.9166666666666666,0.0,1.0,0.006170833333333334,168,0.85475,22,155.4090909090909,624,NaN,NaN,NaN,NaN
20260902,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9723750000000004,0.9666666666666667,0.9545724563966471,1.0,0.005147916666666667,289,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260903,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.2577875,0.21666666666666667,0.0,2.6563083333333335,0.17270625,57,0.00825,12,2.75,15,0.0,0.0,0.0,0.0
20260903,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.8304124999999999,0.9,0.728356264403947,2.8860124999999996,0.0456,96,0.78125,96,32.552083333333336,373,1.0,0.0,0.0,0.0
20260903,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.7268208333333334,0.5,0.6510764844750209,2.8730312500000004,0.05309166666666667,10,0.60775,79,30.772151898734176,254,0.0,1.0,0.0,0.0
20260903,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.8438541666666668,0.9833333333333333,0.6944506236813508,2.9049187499999993,0.037575,236,0.82725,56,59.089285714285715,241,0.0,0.0,1.0,0.0
20260903,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9263750000000001,0.8666666666666667,0.7774567517173373,2.9206895833333335,0.029433333333333332,139,0.95325,81,47.074074074074076,343,0.5833333333333334,0.5083333333333333,0.5333333333333333,0.10833333333333334
20260903,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9482000000000002,0.8666666666666667,0.7418290816480323,2.9380979166666656,0.02280625,279,0.9935,21,189.23809523809524,611,0.31666666666666665,0.6916666666666667,0.55,0.1
20260903,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.7721125,0.95,0.0,1.0,0.006802083333333334,34,0.6515,36,72.38888888888889,958,NaN,NaN,NaN,NaN
20260903,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9735125000000004,0.9666666666666667,0.9552505311426027,1.0,0.005270833333333333,295,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260904,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.2721333333333334,0.21666666666666667,0.0,2.648320833333333,0.17748958333333334,366,0.01025,16,2.5625,11,0.0,0.0,0.0,0.0
20260904,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.8729416666666667,0.9,0.747744725800221,2.8961541666666664,0.04046458333333333,31,0.85425,102,33.5,218,1.0,0.0,0.0,0.0
20260904,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.7626583333333334,0.016666666666666666,0.680806806021242,2.8849875,0.04666875,83,0.6795,87,31.24137931034483,268,0.0,1.0,0.0,0.0
20260904,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9193250000000001,1.0,0.7244843094012731,2.9153749999999996,0.032058333333333335,146,0.9415,92,40.93478260869565,239,0.0,0.0,1.0,0.0
20260904,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9256375,0.95,0.7779784874819254,2.9210562499999995,0.029039583333333334,31,0.95375,63,60.55555555555556,341,0.48333333333333334,0.5166666666666667,0.5583333333333333,0.13333333333333333
20260904,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9424250000000002,0.9833333333333333,0.7220271746152241,2.9366562499999995,0.023127083333333333,174,0.977,24,162.83333333333334,798,0.8333333333333334,0.6583333333333333,0.39166666666666666,0.3
20260904,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.8611083333333335,0.8833333333333333,0.0,1.0,0.00655625,21,0.83575,18,185.72222222222223,804,NaN,NaN,NaN,NaN
20260904,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9726500000000005,0.95,0.9536135481351428,1.0,0.00524375,95,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260905,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.2717666666666667,0.6166666666666667,0.0,2.6545437499999998,0.17351875,622,0.00725,15,1.9333333333333333,6,0.0,0.0,0.0,0.0
20260905,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9010541666666668,0.95,0.7607463986144088,2.901460416666666,0.037766666666666664,46,0.901,145,24.855172413793102,395,1.0,0.0,0.0,0.0
20260905,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.8359791666666666,0.9333333333333333,0.7073490657706789,2.8955229166666667,0.04103125,92,0.7905,120,26.35,219,0.0,1.0,0.0,0.0
20260905,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9255208333333333,0.9666666666666667,0.7313651882995996,2.9169562499999997,0.030647916666666667,48,0.96175,79,48.69620253164557,236,0.0,0.0,1.0,0.0
20260905,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9266458333333335,0.9833333333333333,0.7758281683158313,2.920822916666667,0.0296625,195,0.955,95,40.21052631578947,296,0.5583333333333333,0.4666666666666667,0.5083333333333333,0.13333333333333333
20260905,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9486666666666668,0.9333333333333333,0.7760329890633447,2.941739583333333,0.021308333333333332,30,0.97975,22,178.13636363636363,939,0.6833333333333333,0.5833333333333334,0.2,0.058333333333333334
20260905,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.7696416666666667,0.8666666666666667,0.0,1.0,0.0067666666666666665,190,0.69325,39,71.1025641025641,390,NaN,NaN,NaN,NaN
20260905,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9722791666666671,0.9666666666666667,0.9549724345679035,1.0,0.005158333333333333,128,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260906,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.2609041666666667,0.5,0.0,2.648170833333333,0.17767291666666668,943,0.008,15,2.1333333333333333,9,0.0,0.0,0.0,0.0
20260906,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9192875000000001,0.9,0.7947312904585953,2.9152062499999993,0.03172916666666667,46,0.94325,90,41.922222222222224,292,1.0,0.0,0.0,0.0
20260906,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.7226916666666666,0.7166666666666667,0.6801247413557383,2.885183333333333,0.04544375,98,0.616,88,28.0,255,0.0,1.0,0.0,0.0
20260906,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.8583791666666666,0.8666666666666667,0.6891917326400067,2.8990333333333327,0.040314583333333334,62,0.84325,110,30.663636363636364,299,0.0,0.0,1.0,0.0
