seed,treatment,phase,car_index,risk_aversion
20260901,fixed_0.0,initial,1,0.0
20260901,fixed_0.0,initial,2,0.0
20260901,fixed_0.0,initial,3,0.0
20260901,fixed_0.0,initial,4,0.0
20260901,fixed_0.0,initial,5,0.0
20260901,fixed_0.0,initial,6,0.0
20260901,fixed_0.0,initial,7,0.0
20260901,fixed_0.0,initial,8,0.0
20260901,fixed_0.0,initial,9,0.0
20260901,fixed_0.0,initial,10,0.0
20260901,fixed_0.0,initial,11,0.0
20260901,fixed_0.0,initial,12,0.0
20260901,fixed_0.0,initial,13,0.0
20260901,fixed_0.0,initial,14,0.0
20260901,fixed_0.0,initial,15,0.0
20260901,fixed_0.0,initial,16,0.0
20260901,fixed_0.0,initial,17,0.0
20260901,fixed_0.0,initial,18,0.0
20260901,fixed_0.0,initial,19,0.0
20260901,fixed_0.0,initial,20,0.0
20260901,fixed_0.0,initial,21,0.0
20260901,fixed_0.0,initial,22,0.0
20260901,fixed_0.0,initial,23,0.0
20260901,fixed_0.0,initial,24,0.0
20260901,fixed_0.0,initial,25,0.0
20260901,fixed_0.0,initial,26,0.0
20260901,fixed_0.0,initial,27,0.0
20260901,fixed_0.0,initial,28,0.0
20260901,fixed_0.0,initial,29,0.0
20260901,fixed_0.0,initial,30,0.0
20260901,fixed_0.0,initial,31,0.0
20260901,fixed_0.0,initial,32,0.0
20260901,fixed_0.0,initial,33,0.0
20260901,fixed_0.0,initial,34,0.0
20260901,fixed_0.0,initial,35,0.0
20260901,fixed_0.0,initial,36,0.0
20260901,fixed_0.0,initial,37,0.0
20260901,fixed_0.0,initial,38,0.0
20260901,fixed_0.0,initial,39,0.0
20260901,fixed_0.0,initial,40,0.0
20260901,fixed_0.0,initial,41,0.0
20260901,fixed_0.0,initial,42,0.0
20260901,fixed_0.0,initial,43,0.0
20260901,fixed_0.0,initial,44,0.0
20260901,fixed_0.0,initial,45,0.0
20260901,fixed_0.0,initial,46,0.0
20260901,fixed_0.0,initial,47,0.0
20260901,fixed_0.0,initial,48,0.0
20260901,fixed_0.0,initial,49,0.0
20260901,fixed_0.0,initial,50,0.0
20260901,fixed_0.0,initial,51,0.0
20260901,fixed_0.0,initial,52,0.0
20260901,fixed_0.0,initial,53,0.0
20260901,fixed_0.0,initial,54,0.0
20260901,fixed_0.0,initial,55,0.0
20260901,fixed_0.0,initial,56,0.0
20260901,fixed_0.0,initial,57,0.0
20260901,fixed_0.0,initial,58,0.0
20260901,fixed_0.0,initial,59,0.0
20260901,fixed_0.0,initial,60,0.0
20260901,fixed_0.0,initial,61,0.0
20260901,fixed_0.0,initial,62,0.0
20260901,fixed_0.0,initial,63,0.0
20260901,fixed_0.0,initial,64,0.0
20260901,fixed_0.0,initial,65,0.0
20260901,fixed_0.0,initial,66,0.0
20260901,fixed_0.0,initial,67,0.0
20260901,fixed_0.0,initial,68,0.0
20260901,fixed_0.0,initial,69,0.0
20260901,fixed_0.0,initial,70,0.0
20260901,fixed_0.0,initial,71,0.0
20260901,fixed_0.0,initial,72,0.0
20260901,fixed_0.0,initial,73,0.0
20260901,fixed_0.0,initial,74,0.0
20260901,fixed_0.0,initial,75,0.0
20260901,fixed_0.0,initial,76,0.0
20260901,fixed_0.0,initial,77,0.0
20260901,fixed_0.0,initial,78,0.0
20260901,fixed_0.0,initial,79,0.0
20260901,fixed_0.0,initial,80,0.0
20260901,fixed_0.0,initial,81,0.0
20260901,fixed_0.0,initial,82,0.0
20260901,fixed_0.0,initial,83,0.0
20260901,fixed_0.0,initial,84,0.0
20260901,fixed_0.0,initial,85,0.0
20260901,fixed_0.0,initial,86,0.0
20260901,fixed_0.0,initial,87,0.0
20260901,fixed_0.0,initial,88,0.0
20260901,fixed_0.0,initial,89,0.0
20260901,fixed_0.0,initial,90,0.0
20260901,fixed_0.0,initial,91,0.0
20260901,fixed_0.0,initial,92,0.0
20260901,fixed_0.0,initial,93,0.0
20260901,fixed_0.0,initial,94,0.0
20260901,fixed_0.0,initial,95,0.0
20260901,fixed_0.0,initial,96,0.0
20260901,fixed_0.0,initial,97,0.0
