seed,replacement,speed_policy,speed_clearance,steps,burn_in,lookahead,mean_convention_strength,coordinated_fraction,replacement_rate,mean_proposed_speed,successful_progress,speed_one_share,speed_two_share,speed_three_share
20261001,static_entry,speed-first,0.0,5000,1000,20,0.7028458333333333,0.521,0.07584583333333333,2.8852395833333335,2.7020437499999996,0.048127083333333334,0.01850625,0.9333666666666667
20261001,static_entry,lane-first,0.0,5000,1000,20,0.92195,0.9605,0.03070625,2.928689583333333,2.855729166666667,0.02848125,0.014347916666666667,0.9571708333333333
20261001,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.2400041666666667,0.0015,0.21188125,2.1223937499999996,1.7028770833333333,0.40819375,0.06121875,0.5305875
20261001,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9633375000000003,0.99875,0.011439583333333333,1.9878062499999989,1.9675312499999995,0.01219375,0.98780625,0.0
20261001,evolutionary,speed-first,0.0,5000,1000,20,0.84705,0.7725,0.04495625,2.9304124999999996,2.820775,0.02926875,0.01105,0.95968125
20261001,evolutionary,lane-first,0.0,5000,1000,20,0.9468208333333334,0.9875,0.023070833333333332,2.9456624999999996,2.890714583333333,0.0214875,0.0113625,0.96715
20261001,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.4903625,0.1115,0.13081041666666668,2.0108562500000002,1.7574958333333335,0.46997916666666667,0.04918541666666667,0.4808354166666667
20261001,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9601500000000001,0.99925,0.012310416666666667,1.986497916666666,1.9646687499999997,0.013502083333333333,0.9864979166666666,0.0
20261002,static_entry,speed-first,0.0,5000,1000,20,0.5285916666666667,0.29475,0.09318958333333334,2.864745833333333,2.6389437499999997,0.056808333333333336,0.0216375,0.9215541666666667
20261002,static_entry,lane-first,0.0,5000,1000,20,0.9188083333333336,0.9485,0.030410416666666665,2.9280270833333333,2.856539583333334,0.028885416666666667,0.014202083333333334,0.9569125
20261002,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.23808749999999998,0.00225,0.21425625,2.122185416666666,1.6978833333333332,0.40874791666666666,0.06031875,0.5309333333333334
20261002,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9606708333333336,0.99875,0.01253125,1.9867374999999987,1.9645020833333326,0.0132625,0.9867375,0.0
20261002,evolutionary,speed-first,0.0,5000,1000,20,0.9342333333333335,0.96275,0.027604166666666666,2.9551374999999993,2.8876875,0.0188375,0.0071875,0.973975
20261002,evolutionary,lane-first,0.0,5000,1000,20,0.9525875000000004,0.99625,0.020858333333333333,2.949822916666666,2.9001875,0.0200125,0.010152083333333334,0.9698354166666666
20261002,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.5603,0.17225,0.12716666666666668,2.0141375,1.7682020833333334,0.46875625,0.04835,0.48289375
20261002,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9637250000000002,0.99975,0.011610416666666666,1.9874562499999988,1.9667791666666663,0.01254375,0.98745625,0.0
20261003,static_entry,speed-first,0.0,5000,1000,20,0.5890333333333333,0.37475,0.08020833333333334,2.8799333333333332,2.685341666666667,0.05035625,0.019354166666666665,0.9302895833333333
20261003,static_entry,lane-first,0.0,5000,1000,20,0.8924000000000001,0.90975,0.032064583333333334,2.92661875,2.850570833333333,0.029439583333333335,0.014502083333333334,0.9560583333333333
20261003,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.22866250000000002,0.00125,0.21345208333333332,2.122895833333333,1.6996104166666663,0.40790208333333333,0.0613,0.5307979166666666
20261003,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9426166666666669,0.968,0.013208333333333334,1.9858729166666655,1.9625291666666662,0.014127083333333334,0.9858729166666667,0.0
20261003,evolutionary,speed-first,0.0,5000,1000,20,0.9237958333333334,0.938,0.030897916666666667,2.9521458333333324,2.876016666666666,0.020227083333333333,0.0074,0.9723729166666667
20261003,evolutionary,lane-first,0.0,5000,1000,20,0.9529208333333333,0.99225,0.020629166666666667,2.9509520833333327,2.9018916666666668,0.019454166666666668,0.010139583333333334,0.97040625
20261003,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.6124791666666668,0.1905,0.12065,2.016975,1.7833041666666667,0.46816875,0.0466875,0.48514375
20261003,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9589458333333334,0.9975,0.012970833333333332,1.9859374999999988,1.962964583333333,0.0140625,0.9859375,0.0
20261004,static_entry,speed-first,0.0,5000,1000,20,0.6928916666666667,0.516,0.0760375,2.8875541666666664,2.703060416666667,0.04722083333333333,0.01800416666666667,0.934775
20261004,static_entry,lane-first,0.0,5000,1000,20,0.9159124999999999,0.93225,0.03200833333333333,2.9267083333333326,2.8509062499999995,0.029354166666666667,0.014583333333333334,0.9560625
20261004,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.23960416666666667,0.00025,0.21309375,2.1178874999999997,1.6956125,0.4107145833333333,0.06068333333333333,0.5286020833333334
20261004,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9608250000000003,0.998,0.011864583333333333,1.9872833333333324,1.9661770833333327,0.012716666666666666,0.9872833333333333,0.0
20261004,evolutionary,speed-first,0.0,5000,1000,20,0.8017291666666666,0.75475,0.0443,2.9313583333333337,2.8236999999999997,0.028654166666666668,0.011333333333333334,0.9600125
20261004,evolutionary,lane-first,0.0,5000,1000,20,0.9549166666666669,0.99275,0.01957916666666667,2.9522124999999995,2.9058374999999996,0.019179166666666667,0.009429166666666667,0.9713916666666667
20261004,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.6965916666666667,0.247,0.11433541666666666,2.011139583333333,1.7907270833333333,0.47203958333333335,0.04478125,0.48317916666666666
20261004,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9655458333333335,0.99925,0.011054166666666667,1.9881062499999989,1.9684083333333326,0.01189375,0.98810625,0.0
20261005,static_entry,speed-first,0.0,5000,1000,20,0.6036583333333333,0.414,0.07709583333333334,2.8851166666666663,2.6983166666666665,0.04819166666666667,0.0185,0.9333083333333333
