strategy,initial_cars,road_occupancy,final_age_mean,final_age_ci,replacement_rate_mean,replacement_rate_ci,switch_rate_mean,switch_rate_ci,final_abs_habitus_mean,first_replacement_mean
Per-entity habitus,10,0.05,80.072,3.9414991436315807,0.00843,0.001435781503874697,0.04595190476190475,0.0036023343787897517,0.9657045168749018,23.36
Per-entity habitus,20,0.1,73.76650000000001,4.38042915715487,0.013385000000000001,0.002081405524634687,0.05267922825540474,0.004446156580464681,0.9360413072518378,4.79
Per-entity habitus,40,0.2,67.14350000000002,3.8525233979617077,0.024942500000000006,0.003351036513415278,0.061056724836383795,0.005795971592396415,0.9213690766585289,1.01
Per-entity habitus,60,0.3,57.53116666666668,3.7364814109866993,0.04391833333333332,0.005732312049431178,0.07152740757068343,0.006707214561115488,0.881389795308332,1.0
Per-entity habitus,80,0.4,45.443000000000005,2.933322401325359,0.07499875000000002,0.00910661900068912,0.0876520570871806,0.007841331796822075,0.8401356779579358,1.0
Mean habitus,10,0.05,80.44800000000001,2.8951138515209878,0.0067,0.0008529805141829194,0.12774416666666666,0.010346519704089117,0.7363190924787076,25.17
Mean habitus,20,0.1,78.75250000000001,2.4626674089636458,0.00946,0.0008181122236619194,0.07685798947784242,0.00560015505447046,0.83502718801431,2.87
Mean habitus,40,0.2,72.56275,1.6406122482752923,0.017685,0.0011328835793868867,0.0595828923720314,0.0038227726898610254,0.8916692357025181,1.01
Mean habitus,60,0.3,59.544833333333344,1.7486883505395359,0.03135666666666667,0.0017914908588585478,0.06812849564729877,0.0037159338667381893,0.887260514458102,1.0
Mean habitus,80,0.4,48.05925,1.512497398388613,0.0519725,0.0032668607677182335,0.0787392095444817,0.004741893971108019,0.8564761834056172,1.0
Random,10,0.05,23.705,1.4301974585717352,0.04,0.001677518706334153,0.44818369047619055,0.0036675690042127598,0.22974764609889736,6.03
Random,20,0.1,13.479999999999997,0.6641383189266123,0.08048999999999999,0.0019220147673887956,0.4984416298244239,0.002855688357606069,0.1454697109577331,1.61
Random,40,0.2,6.324249999999999,0.260553976049788,0.17035999999999998,0.002163818623814777,0.4979331481117251,0.0022581969558070274,0.1035866728821157,1.0
Random,60,0.3,3.806166666666667,0.10684905730264842,0.2823016666666667,0.0019264673686605824,0.49296678923459597,0.0018937531659732588,0.08055454949670192,1.0
Random,80,0.4,2.6991250000000004,0.0637449626668966,0.39260875,0.00177199612326998,0.4888880650567233,0.0017550086851433658,0.06349801423680096,1.0
Naive,10,0.05,80.587,2.7457849921520205,0.00621,0.0007600217530113892,0.12872785714285714,0.010181953641041967,0.722493573355845,27.84
Naive,20,0.1,78.475,2.4395379897915843,0.009305,0.0009394559738852519,0.08032318690296632,0.006406822746669742,0.8274127420103996,4.79
Naive,40,0.2,72.9325,1.9052769846885353,0.014832500000000002,0.0011901254755595134,0.055641484402346446,0.0038869664354826148,0.8983978271016622,1.01
Naive,60,0.3,61.525,1.4741291554384168,0.027251666666666664,0.00138886987136879,0.06257725686863996,0.0029901043630584817,0.8983554571022734,1.0
Naive,80,0.4,47.99037499999999,1.5523829350755853,0.04892499999999999,0.0029270885257152266,0.07908528839466794,0.0036801456335050727,0.8401390451403996,1.0
Two-frame Naive,10,0.05,83.74300000000001,2.9470386718449246,0.0053,0.0007867175124810966,0.08866666666666667,0.008065160847710282,0.7478550481563246,27.77
Two-frame Naive,20,0.1,81.8165,2.287711360449852,0.00745,0.0008003484847050671,0.05394025856496446,0.0038112202854545126,0.8623338613085835,6.68
Two-frame Naive,40,0.2,76.42775,1.8523898381015862,0.012199999999999999,0.0008259976031466679,0.040572481432917994,0.002391581809709636,0.8975713096656225,1.09
Two-frame Naive,60,0.3,67.2655,1.5677387724247496,0.021275,0.0014548451697735632,0.04028690689369203,0.0025353964323574637,0.9039712423402242,1.0
Two-frame Naive,80,0.4,55.83675,1.751975492783544,0.03453,0.002541145056382212,0.044484115138447,0.0031066612132903035,0.8704786182599469,1.0
Decision-aware,10,0.05,92.32300000000001,1.764136061868199,0.00217,0.0003989226116692435,0.07744464285714285,0.007225029894248424,0.7397794315147479,57.18
Decision-aware,20,0.1,89.56649999999999,1.5475157645919495,0.0033250000000000003,0.0003802864815909291,0.03672313725490197,0.002712587786808189,0.8488400777254606,21.49
Decision-aware,40,0.2,80.68775000000001,1.367083145890098,0.007969999999999998,0.0005424437461873607,0.03462287393854259,0.0021402595280915378,0.9272110550241339,1.28
Decision-aware,60,0.3,69.40866666666666,1.509432921114006,0.014446666666666665,0.0010433504172609762,0.042702368976128106,0.0022889321299133713,0.9147093141275826,1.0
Decision-aware,80,0.4,59.33625,1.3547999223579887,0.02333625,0.0014035555907905444,0.04980735745636053,0.0021905099607815006,0.8870804596144286,1.0
Unsure,10,0.05,21.223,1.7286335219671887,0.04655,0.00198876816856134,0.009882142857142857,0.000598594647644424,0.630724488430644,4.58
Unsure,20,0.1,15.020500000000002,1.0391007503460368,0.07918,0.0024629934078004936,0.01004486473493827,0.000433308607362037,0.5309108078284271,1.71
Unsure,40,0.2,9.529000000000002,0.5713516732178956,0.1318275,0.0031517808520411007,0.009394371967852245,0.0003272263668605785,0.4170044343651511,1.01
Unsure,60,0.3,6.959833333333333,0.3971211977595615,0.18643999999999994,0.003571831750838258,0.008768994509953729,0.00031042963912436105,0.3270087247329642,1.0
Unsure,80,0.4,5.299375,0.2536605855177387,0.23599874999999998,0.003208207572108189,0.008137231502515694,0.00023919434666982596,0.26083740631943864,1.0
Switch,10,0.05,16.866,1.758267353035799,0.06366999999999999,0.0026774430168888504,0.5159965476190476,0.015359083550660596,0.24408112681801633,2.99
Switch,20,0.1,10.928999999999998,0.7177362522697471,0.107355,0.002838816716005228,0.7228771598336304,0.009736821149182052,0.11030652626793647,1.24
Switch,40,0.2,5.2105,0.218387644496402,0.2178825,0.0027835274055185316,0.7163630711671368,0.006668870804121653,0.07307555987462347,1.0
Switch,60,0.3,3.1061666666666663,0.09039346571887212,0.3474433333333333,0.002405125949871955,0.6323172460249237,0.004375457950726007,0.060017124771332656,1.0
Switch,80,0.4,2.321375,0.056046613128554156,0.46463249999999995,0.0019083801116669761,0.6059085063546409,0.0025056193442487894,0.0475103110417508,1.0
