strategy_a,strategy_b,initial_cars,metric,mean_difference,ci_low,ci_high
Decision-aware,Naive,10,final_age,11.735999999999999,8.661453038930414,14.810546961069583
Decision-aware,Naive,10,trajectory_age,4.49523,3.4833534423010684,5.507106557698933
Decision-aware,Naive,10,replacements,-4.04,-4.806440529494967,-3.2735594705050333
Decision-aware,Naive,10,replacement_rate,-0.004040000000000001,-0.004806440529494968,-0.003273559470505034
Decision-aware,Naive,20,final_age,11.091500000000002,8.36943971046885,13.813560289531154
Decision-aware,Naive,20,trajectory_age,4.851515000000001,3.858803656918853,5.844226343081149
Decision-aware,Naive,20,replacements,-11.96,-13.848804221798234,-10.071195778201767
Decision-aware,Naive,20,replacement_rate,-0.00598,-0.006924402110899117,-0.005035597889100883
Decision-aware,Naive,40,final_age,7.75525,5.47324304977665,10.03725695022335
Decision-aware,Naive,40,trajectory_age,3.6027399999999994,2.685739081022238,4.51974091897776
Decision-aware,Naive,40,replacements,-27.45,-32.20490032822068,-22.695099671779317
Decision-aware,Naive,40,replacement_rate,-0.006862499999999999,-0.008051225082055169,-0.005673774917944829
Decision-aware,Naive,60,final_age,7.883666666666667,5.937805411184295,9.829527922149039
Decision-aware,Naive,60,trajectory_age,4.726806666666666,3.805390729343402,5.648222603989929
Decision-aware,Naive,60,replacements,-76.83,-86.90871438097803,-66.75128561902197
Decision-aware,Naive,60,replacement_rate,-0.012805000000000002,-0.014484785730163006,-0.011125214269836998
Decision-aware,Naive,80,final_age,11.345875000000001,9.344657823030765,13.347092176969237
Decision-aware,Naive,80,trajectory_age,6.445456250000001,5.402553485655455,7.488359014344548
Decision-aware,Naive,80,replacements,-204.71,-229.34798812654225,-180.07201187345777
Decision-aware,Naive,80,replacement_rate,-0.02558875,-0.028668498515817778,-0.022509001484182223
Two-frame Naive,Naive,10,final_age,3.156,-0.21513590918640668,6.527135909186407
Two-frame Naive,Naive,10,trajectory_age,1.04158,-0.14621931407963773,2.2293793140796376
Two-frame Naive,Naive,10,replacements,-0.91,-1.8794883115657592,0.05948831156575907
Two-frame Naive,Naive,10,replacement_rate,-0.0009100000000000001,-0.0018794883115657592,5.948831156575899e-5
Two-frame Naive,Naive,20,final_age,3.3415,0.5656265111855276,6.117373488814472
Two-frame Naive,Naive,20,trajectory_age,1.627890000000001,0.6768839259133079,2.578896074086694
Two-frame Naive,Naive,20,replacements,-3.71,-5.560485738688874,-1.8595142613111255
Two-frame Naive,Naive,20,replacement_rate,-0.0018549999999999999,-0.002780242869344437,-0.0009297571306555626
Two-frame Naive,Naive,40,final_age,3.495249999999999,1.1691809799146085,5.82131902008539
Two-frame Naive,Naive,40,trajectory_age,1.7529224999999997,0.886635434428384,2.6192095655716154
Two-frame Naive,Naive,40,replacements,-10.53,-15.0952192868437,-5.9647807131562995
Two-frame Naive,Naive,40,replacement_rate,-0.0026325000000000003,-0.0037738048217109254,-0.0014911951782890754
Two-frame Naive,Naive,60,final_age,5.7405,3.7566578212716975,7.724342178728302
Two-frame Naive,Naive,60,trajectory_age,2.96028,1.928759725549693,3.991800274450307
Two-frame Naive,Naive,60,replacements,-35.86,-47.83949172824418,-23.880508271755822
Two-frame Naive,Naive,60,replacement_rate,-0.005976666666666667,-0.00797324862137403,-0.003980084711959303
Two-frame Naive,Naive,80,final_age,7.846375,5.608407799182684,10.084342200817316
Two-frame Naive,Naive,80,trajectory_age,4.008175,2.876901759600897,5.139448240399102
Two-frame Naive,Naive,80,replacements,-115.16,-145.04183750908896,-85.27816249091103
Two-frame Naive,Naive,80,replacement_rate,-0.014395,-0.018130229688636118,-0.01065977031136388
Decision-aware,Mean habitus,10,final_age,11.875,8.681903475156178,15.068096524843822
Decision-aware,Mean habitus,10,trajectory_age,5.004579999999998,3.852037315448844,6.157122684551152
Decision-aware,Mean habitus,10,replacements,-4.53,-5.377941003284135,-3.6820589967158655
Decision-aware,Mean habitus,10,replacement_rate,-0.004530000000000001,-0.005377941003284136,-0.0036820589967158663
Decision-aware,Mean habitus,20,final_age,10.813999999999998,7.9678450927568525,13.660154907243143
Decision-aware,Mean habitus,20,trajectory_age,4.875315,3.8783476065167726,5.872282393483227
Decision-aware,Mean habitus,20,replacements,-12.27,-14.022602438280474,-10.517397561719525
Decision-aware,Mean habitus,20,replacement_rate,-0.006135000000000001,-0.007011301219140238,-0.005258698780859763
Decision-aware,Mean habitus,40,final_age,8.124999999999998,6.004638214498726,10.24536178550127
Decision-aware,Mean habitus,40,trajectory_age,4.245347499999999,3.377732786001659,5.1129622139983395
Decision-aware,Mean habitus,40,replacements,-38.86,-43.48295671778846,-34.23704328221154
Decision-aware,Mean habitus,40,replacement_rate,-0.009715000000000001,-0.010870739179447116,-0.008559260820552887
Decision-aware,Mean habitus,60,final_age,9.863833333333334,7.945807443486196,11.781859223180472
Decision-aware,Mean habitus,60,trajectory_age,5.75308,4.761059634384237,6.745100365615762
Decision-aware,Mean habitus,60,replacements,-101.46,-113.7809105320093,-89.13908946799069
Decision-aware,Mean habitus,60,replacement_rate,-0.01691,-0.018963485088668217,-0.014856514911331786
Decision-aware,Mean habitus,80,final_age,11.277000000000001,9.270891810100508,13.283108189899494
Decision-aware,Mean habitus,80,trajectory_age,7.121585000000001,6.034319982293656,8.208850017706347
Decision-aware,Mean habitus,80,replacements,-229.09,-257.30005678456325,-200.87994321543675
Decision-aware,Mean habitus,80,replacement_rate,-0.02863625,-0.032162507098070406,-0.02510999290192959
Naive,Mean habitus,10,final_age,0.13899999999999976,-3.0291882889127724,3.307188288912772
Naive,Mean habitus,10,trajectory_age,0.5093499999999989,-0.63435584417044,1.6530558441704377
Naive,Mean habitus,10,replacements,-0.49,-1.3954973734546852,0.41549737345468507
Naive,Mean habitus,10,replacement_rate,-0.00049,-0.001395497373454685,0.00041549737345468495
Naive,Mean habitus,20,final_age,-0.27750000000000064,-3.6396718810731246,3.084671881073123
Naive,Mean habitus,20,trajectory_age,0.023799999999999065,-1.1351777140831902,1.1827777140831885
Naive,Mean habitus,20,replacements,-0.31,-2.482530038941006,1.862530038941006
Naive,Mean habitus,20,replacement_rate,-0.00015499999999999978,-0.001241265019470503,0.0009312650194705035
Naive,Mean habitus,40,final_age,0.36975000000000036,-1.9407366629031935,2.680236662903194
Naive,Mean habitus,40,trajectory_age,0.6426074999999993,-0.44523890044204495,1.7304539004420436
Naive,Mean habitus,40,replacements,-11.41,-17.545650052444373,-5.2743499475556295
Naive,Mean habitus,40,replacement_rate,-0.0028525000000000004,-0.004386412513111093,-0.001318587486888908
Naive,Mean habitus,60,final_age,1.9801666666666664,-0.1785759935649618,4.138909326898295
Naive,Mean habitus,60,trajectory_age,1.026273333333334,-0.044447013801526936,2.096993680468195
Naive,Mean habitus,60,replacements,-24.63,-38.07824432871624,-11.181755671283762
Naive,Mean habitus,60,replacement_rate,-0.004105,-0.00634637405478604,-0.0018636259452139599
Naive,Mean habitus,80,final_age,-0.06887499999999985,-1.9813274894804442,1.8435774894804446
Naive,Mean habitus,80,trajectory_age,0.6761287500000002,-0.41370992183862443,1.7659674218386248
