strategy,initial_cars,replicate,final_age,trajectory_age,replacements,replacement_rate,switch_rate,final_abs_habitus,first_replacement
Per-entity habitus,10,1,77.0,36.368,10,0.01,0.05274999999999999,1.0,2
Per-entity habitus,10,2,65.8,35.632000000000005,12,0.012,0.04449999999999999,0.8455368990762328,1
Per-entity habitus,10,3,71.2,32.714,16,0.016,0.05549999999999999,0.9914147380611713,1
Per-entity habitus,10,4,83.8,40.588,6,0.006,0.03499999999999999,1.0,7
Per-entity habitus,10,5,101.0,51.5,0,0.0,0.024,1.0,101
Per-entity habitus,10,6,99.8,50.324000000000005,4,0.004,0.04433333333333333,0.9566097626472306,3
Per-entity habitus,10,7,87.8,42.624,4,0.004,0.033,0.9993206925441867,28
Per-entity habitus,10,8,100.2,50.724,2,0.002,0.032249999999999994,1.0,4
Per-entity habitus,10,9,86.6,46.496,4,0.004,0.028249999999999994,1.0,3
Per-entity habitus,10,10,37.2,18.795,29,0.029,0.0655,0.9086024052476361,14
Per-entity habitus,10,11,100.2,50.724,2,0.002,0.040999999999999995,0.9981900081900082,4
Per-entity habitus,10,12,83.7,40.18599999999999,7,0.007,0.04192857142857142,0.9868180775246925,4
Per-entity habitus,10,13,68.4,30.816000000000003,15,0.015,0.05724999999999998,0.9529190316198093,16
Per-entity habitus,10,14,96.3,47.67300000000001,4,0.004,0.05549999999999999,0.8358197550823997,3
Per-entity habitus,10,15,67.6,31.011999999999997,12,0.012,0.06641666666666665,0.9808849961551438,4
Per-entity habitus,10,16,85.4,41.611999999999995,6,0.006,0.04324999999999999,0.9894253813166312,3
Per-entity habitus,10,17,100.6,51.10400000000001,2,0.002,0.029749999999999995,1.0,2
Per-entity habitus,10,18,89.0,42.442,10,0.01,0.049249999999999995,0.9766639838783144,2
Per-entity habitus,10,19,101.0,51.5,0,0.0,0.017999999999999995,1.0,101
Per-entity habitus,10,20,101.0,51.5,0,0.0,0.025,0.9881577666256538,101
Per-entity habitus,10,21,72.3,32.958000000000006,20,0.02,0.05283333333333332,0.9562605350003363,2
Per-entity habitus,10,22,93.2,46.663999999999994,2,0.002,0.028999999999999995,1.0,39
Per-entity habitus,10,23,86.4,47.123999999999995,4,0.004,0.040999999999999995,0.9846517221196291,1
Per-entity habitus,10,24,99.2,49.843999999999994,2,0.002,0.0395,1.0,9
Per-entity habitus,10,25,100.6,51.10400000000001,2,0.002,0.06749999999999998,0.9526417318185096,2
Per-entity habitus,10,26,82.3,37.573,8,0.008,0.05049999999999999,0.995015754032201,15
Per-entity habitus,10,27,68.4,32.484,8,0.008,0.029249999999999998,1.0,31
Per-entity habitus,10,28,63.6,28.744999999999994,16,0.016,0.08274999999999999,0.9987725665211729,25
Per-entity habitus,10,29,100.8,51.3,2,0.002,0.027999999999999994,0.9990990990990991,1
Per-entity habitus,10,30,45.7,21.229,30,0.03,0.055,0.9435835877171129,1
Per-entity habitus,10,31,73.8,37.656000000000006,8,0.008,0.05124999999999999,1.0,24
Per-entity habitus,10,32,35.5,23.218000000000004,16,0.016,0.09075,0.8364313927350281,37
Per-entity habitus,10,33,78.7,42.035,8,0.008,0.03525,0.9836374695364297,3
Per-entity habitus,10,34,88.8,42.98,4,0.004,0.03599999999999999,0.9237541412291405,26
Per-entity habitus,10,35,87.9,45.974,6,0.006,0.023999999999999994,1.0,1
Per-entity habitus,10,36,100.0,50.54,2,0.002,0.033999999999999996,0.9901398823980762,5
Per-entity habitus,10,37,100.8,51.3,2,0.002,0.029999999999999995,1.0,1
Per-entity habitus,10,38,67.0,30.566000000000003,12,0.012,0.061,1.0,30
Per-entity habitus,10,39,49.5,29.693,16,0.016,0.06574999999999999,0.8882598426467373,3
Per-entity habitus,10,40,91.3,44.73700000000001,6,0.006,0.04299999999999999,0.9763272725843143,1
Per-entity habitus,10,41,40.1,22.497999999999998,20,0.02,0.07549999999999998,0.8951258824725384,24
Per-entity habitus,10,42,64.0,28.962,14,0.014,0.06399999999999999,0.9561007224882558,5
Per-entity habitus,10,43,79.7,38.567,12,0.012,0.03575,1.0,1
Per-entity habitus,10,44,36.0,25.82,21,0.021,0.08974999999999998,0.7213697396505934,27
Per-entity habitus,10,45,101.0,51.5,0,0.0,0.027999999999999997,1.0,101
Per-entity habitus,10,46,101.0,51.5,0,0.0,0.039999999999999994,0.9648922066732928,101
Per-entity habitus,10,47,78.7,36.019,12,0.012,0.03374999999999999,0.9813185571801931,1
Per-entity habitus,10,48,41.0,25.805,21,0.021,0.06025,0.9471034882814561,1
Per-entity habitus,10,49,80.8,37.924,6,0.006,0.04049999999999999,0.9213618576725995,31
Per-entity habitus,10,50,100.8,51.3,2,0.002,0.034999999999999996,0.9972725769973476,1
Per-entity habitus,10,51,32.8,20.515,24,0.024,0.06799999999999998,0.8838067905410185,31
Per-entity habitus,10,52,39.4,24.022000000000006,21,0.021,0.06774999999999999,0.893487164585131,26
Per-entity habitus,10,53,97.3,48.253000000000014,8,0.008,0.04125,0.9972843140137277,1
Per-entity habitus,10,54,100.4,50.91199999999999,2,0.002,0.04174999999999999,0.9998898166260786,3
Per-entity habitus,10,55,96.8,48.14,2,0.002,0.03699999999999999,0.949539565944755,21
Per-entity habitus,10,56,86.6,41.97200000000001,6,0.006,0.03625,1.0,4
Per-entity habitus,10,57,91.2,46.403999999999996,2,0.002,0.031999999999999994,1.0,49
Per-entity habitus,10,58,59.0,25.397999999999996,18,0.018,0.056999999999999995,0.9091029343694899,19
Per-entity habitus,10,59,60.1,32.693999999999996,12,0.012,0.06574999999999999,0.8977599661020896,18
Per-entity habitus,10,60,45.0,27.250999999999998,14,0.014,0.05124999999999999,0.8960216803051371,18
Per-entity habitus,10,61,44.5,25.391000000000005,25,0.025,0.06749999999999999,0.8440946480305038,1
Per-entity habitus,10,62,58.6,26.142,18,0.018,0.05474999999999999,0.9614349918815585,4
Per-entity habitus,10,63,83.4,49.21199999999999,2,0.002,0.04324999999999999,0.9428828332418991,88
Per-entity habitus,10,64,89.1,43.647000000000006,6,0.006,0.051,0.9634465868587491,3
Per-entity habitus,10,65,85.0,43.676,4,0.004,0.026999999999999996,0.9999574829931973,18
Per-entity habitus,10,66,78.4,35.843,10,0.01,0.05249999999999999,1.0,3
Per-entity habitus,10,67,69.9,33.713,10,0.01,0.08374999999999998,0.8845916699822652,28
Per-entity habitus,10,68,62.7,27.897999999999996,17,0.017,0.05317857142857142,0.9984615384615385,27
Per-entity habitus,10,69,92.2,45.224,4,0.004,0.05424999999999999,0.9987871742430079,14
Per-entity habitus,10,70,78.8,38.61000000000001,7,0.007,0.048499999999999995,1.0,2
Per-entity habitus,10,71,95.8,47.08800000000001,6,0.006,0.03699999999999999,0.9141090695450108,2
Per-entity habitus,10,72,101.0,51.5,0,0.0,0.027999999999999994,0.9564102758754917,101
Per-entity habitus,10,73,60.8,26.451000000000004,17,0.017,0.06799999999999999,0.9339374241487697,17
Per-entity habitus,10,74,88.6,43.220000000000006,4,0.004,0.025999999999999995,1.0,21
Per-entity habitus,10,75,28.9,23.026999999999997,26,0.026,0.11341666666666665,0.8198151911515158,3
Per-entity habitus,10,76,101.0,51.5,0,0.0,0.021999999999999992,0.932423817971357,101
Per-entity habitus,10,77,74.0,39.455999999999996,6,0.006,0.04324999999999999,0.987854545398342,28
Per-entity habitus,10,78,101.0,51.5,0,0.0,0.030999999999999993,0.9709731830712869,101
Per-entity habitus,10,79,86.2,40.268,6,0.006,0.03924999999999999,1.0,21
Per-entity habitus,10,80,76.6,38.315999999999995,10,0.01,0.05124999999999999,0.9870335760790055,1
Per-entity habitus,10,81,75.6,36.06399999999999,11,0.011,0.06083333333333332,0.9806571284007166,2
Per-entity habitus,10,82,100.8,51.3,2,0.002,0.034,0.973366208731376,1
Per-entity habitus,10,83,89.5,43.108000000000004,10,0.01,0.04899999999999999,1.0,1
Per-entity habitus,10,84,101.0,51.5,0,0.0,0.036,0.9980096019971395,101
Per-entity habitus,10,85,101.0,51.5,0,0.0,0.020999999999999998,1.0,101
Per-entity habitus,10,86,71.9,36.06,8,0.008,0.03149999999999999,1.0,22
Per-entity habitus,10,87,100.3,50.81,4,0.004,0.024999999999999994,1.0,1
Per-entity habitus,10,88,63.2,30.15299999999999,12,0.012,0.05375,0.9662759527783387,3
Per-entity habitus,10,89,46.5,23.631999999999998,20,0.02,0.0925,0.9386960041377002,7
Per-entity habitus,10,90,92.9,44.995999999999995,6,0.006,0.032249999999999994,1.0,6
Per-entity habitus,10,91,73.5,34.505,14,0.014,0.083,0.9690005649129736,5
Per-entity habitus,10,92,100.8,51.3,2,0.002,0.024999999999999994,1.0,1
Per-entity habitus,10,93,79.1,38.577,10,0.01,0.03774999999999999,1.0,1
Per-entity habitus,10,94,101.0,51.5,0,0.0,0.03799999999999999,0.9999918099918099,101
Per-entity habitus,10,95,101.0,51.5,0,0.0,0.028999999999999995,0.9978646482960276,101
Per-entity habitus,10,96,77.6,37.163999999999994,6,0.006,0.034249999999999996,1.0,32
Per-entity habitus,10,97,94.2,45.792,4,0.004,0.028999999999999998,1.0,16
Per-entity habitus,10,98,101.0,51.5,0,0.0,0.020999999999999998,1.0,101
Per-entity habitus,10,99,95.9,47.20399999999999,6,0.006,0.036,1.0,3
Per-entity habitus,10,100,62.8,31.212000000000007,14,0.014,0.042249999999999996,1.0,2
Mean habitus,10,1,79.4,41.924,6,0.006,0.0935,0.8078087671505021,2
Mean habitus,10,2,54.8,39.428000000000004,10,0.01,0.14,0.5494402176421481,1
Mean habitus,10,3,76.1,39.18,14,0.014,0.10949999999999999,0.7178188866098327,1
Mean habitus,10,4,69.0,38.208,8,0.008,0.09724999999999998,0.6024504813871628,7
Mean habitus,10,5,87.2,40.88,6,0.006,0.10575,0.8258560768936807,17
Mean habitus,10,6,97.5,48.261,6,0.006,0.10675000000000001,0.8963590556352813,3
Mean habitus,10,7,74.8,38.393,8,0.008,0.077,0.6709355708661275,48
Mean habitus,10,8,96.6,47.808000000000014,4,0.004,0.11449999999999998,0.6016557860974024,4
Mean habitus,10,9,76.5,39.728,8,0.008,0.1985,0.5383176382428974,3
Mean habitus,10,10,63.5,40.788,6,0.006,0.11574999999999998,0.665371915721016,59
Mean habitus,10,11,94.0,46.38399999999999,4,0.004,0.05975,0.997222063442161,4
Mean habitus,10,12,97.2,48.38399999999999,2,0.002,0.12,0.5777374406639889,19
Mean habitus,10,13,81.0,51.3,2,0.002,0.08149999999999999,0.5363180382330907,100
Mean habitus,10,14,74.1,38.202999999999996,8,0.008,0.109,0.9255217243873893,37
Mean habitus,10,15,68.2,45.284,4,0.004,0.1795,0.7088135755078995,80
Mean habitus,10,16,91.7,44.42,6,0.006,0.13125,0.7003153428492068,6
Mean habitus,10,17,82.4,49.284,4,0.004,0.174,0.3709432375262595,2
Mean habitus,10,18,69.9,34.611000000000004,20,0.02,0.11549999999999999,0.5779506170151937,2
Mean habitus,10,19,90.6,46.403999999999996,2,0.002,0.09850000000000002,0.8645774909233988,52
Mean habitus,10,20,101.0,51.5,0,0.0,0.06499999999999999,0.877996774819317,101
Mean habitus,10,21,45.8,26.934000000000005,18,0.018,0.13325,0.936967701304304,2
Mean habitus,10,22,70.2,36.93599999999999,8,0.008,0.17958333333333334,0.7073092061147032,20
