seed,implementation,scenario,steps,burn_in,population,ring_y,lookahead,error_rate,max_speed,mean_convention_strength,final_convention_strength,mean_disposition_strength,mean_speed,replacement_rate,time_to_convention,coordinated_fraction,coordination_entries,mean_coordinated_episode,longest_coordinated_episode,final_habit_share,final_convention_share,final_social_habit_share,final_all_three_share
20260901,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.5908666666666667,0.6166666666666667,0.0,2.9416312499999995,0.09711041666666667,60,0.36525,137,10.664233576642335,91,0.0,0.0,0.0,0.0
20260901,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9537291666666667,0.9166666666666666,0.8071511979426137,2.9788395833333325,0.027929166666666668,103,0.99875,5,799.0,1456,1.0,0.0,0.0,0.0
20260901,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.9376666666666668,0.9833333333333333,0.7920233600401232,2.9790458333333323,0.027197916666666665,35,0.96325,12,321.0833333333333,1649,0.0,1.0,0.0,0.0
20260901,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.956854166666667,0.9,0.7673552895801432,2.980147916666666,0.02644375,82,0.99975,2,1999.5,3490,0.0,0.0,1.0,0.0
20260901,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9594958333333335,0.9666666666666667,0.8052208145862036,2.9804833333333325,0.02535,15,0.999,5,799.2,2265,0.55,0.5083333333333333,0.5166666666666667,0.14166666666666666
20260901,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9642541666666669,1.0,0.7416100089482841,2.981570833333332,0.0238625,62,0.99975,2,1999.5,3260,0.3333333333333333,0.35,0.44166666666666665,0.05
20260901,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.7978666666666668,0.9833333333333333,0.0,1.0,0.006764583333333333,292,0.74475,42,70.92857142857143,638,NaN,NaN,NaN,NaN
20260901,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9732166666666671,1.0,0.956863701567793,1.0,0.00501875,162,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260902,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.590075,0.36666666666666664,0.0,2.9427374999999993,0.09282708333333334,83,0.36325,130,11.176923076923076,98,0.0,0.0,0.0,0.0
20260902,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9556291666666669,0.9666666666666667,0.8115339135878357,2.979147916666666,0.027166666666666665,113,0.999,5,799.2,1432,1.0,0.0,0.0,0.0
